期号,实际命中数,top9,实际开奖
2026191,1,"2,9,11,12,33,39,48,61,80","1,2,5,6,13,15,23,28,32,34,37,42,45,46,53,55,71,73,75,77"
2026190,2,"1,2,12,18,69,73,76,77,80","2,3,7,10,23,30,32,39,40,41,42,44,45,46,51,53,59,61,67,80"
2026189,2,"12,39,59,62,63,73,76,77,80","1,5,6,12,14,18,22,27,29,32,35,42,49,55,57,59,69,71,74,78"
2026188,1,"2,5,12,39,62,63,72,73,77","4,11,13,17,18,20,21,23,25,27,29,38,44,56,61,62,65,67,75,79"
2026187,3,"2,5,9,38,49,56,63,73,80","2,3,8,9,11,12,15,25,27,31,33,34,38,55,57,62,69,72,75,78"
2026186,0,"2,5,12,33,39,49,56,63,69","1,7,11,18,21,23,26,28,30,34,37,41,44,45,46,58,65,67,71,80"
2026185,4,"5,12,27,33,61,69,73,76,77","4,6,12,15,24,30,33,35,39,40,42,45,48,58,60,61,66,67,69,80"
2026184,3,"16,54,61,62,69,73,76,77,80","3,4,6,7,9,10,11,13,25,32,33,43,57,59,66,69,72,73,77,78"
2026183,2,"16,27,39,49,54,61,63,73,77","1,9,10,11,14,15,22,42,45,55,57,62,65,66,68,69,73,76,77,80"
2026182,3,"9,16,27,39,44,49,61,73,76","1,2,3,6,12,17,23,25,28,39,48,49,52,53,55,63,68,69,73,78"
2026181,1,"21,39,44,54,61,63,72,73,77","6,10,12,18,22,28,30,33,35,38,42,48,58,59,63,64,65,71,76,79"
2026180,1,"9,11,16,19,21,27,33,39,49","1,2,5,12,19,23,36,37,41,42,50,53,56,59,64,68,72,73,74,77"
2026179,2,"13,17,21,24,27,30,44,51,61","1,10,12,13,14,15,19,27,29,32,40,43,49,53,59,62,69,72,73,80"
2026178,3,"12,16,17,33,37,39,44,62,77","5,10,12,19,20,26,27,30,35,38,44,45,46,47,49,54,56,61,72,77"
2026177,4,"6,12,21,24,30,33,35,37,39","11,15,16,20,33,35,37,39,42,46,49,50,54,56,61,62,71,73,76,79"
2026176,2,"8,11,16,17,27,33,35,37,38","7,8,14,21,22,26,29,33,36,39,40,57,59,63,64,67,70,72,73,76"
2026175,2,"1,2,11,16,23,24,30,31,33","9,15,16,21,27,32,33,34,36,38,39,44,45,54,60,67,77,78,79,80"
2026174,3,"1,2,3,5,12,13,24,27,30","2,7,11,13,18,21,23,25,30,31,48,53,54,55,61,62,69,76,77,80"
2026173,4,"2,3,4,12,16,17,27,35,74","1,3,5,8,9,12,19,24,27,30,32,47,51,52,59,64,67,74,75,80"
2026172,1,"12,14,17,23,30,31,33,38,39","4,5,11,16,17,19,20,26,37,44,46,47,51,55,61,63,66,68,70,75"
2026171,2,"1,10,14,17,24,33,35,38,50","6,8,11,16,20,22,23,30,31,33,38,39,41,44,53,54,55,62,63,79"
2026170,2,"30,33,35,38,39,54,56,60,73","2,3,7,9,16,20,21,23,24,25,27,33,35,36,41,43,49,51,57,65"
2026169,2,"11,18,23,30,50,56,60,66,71","4,5,6,18,21,25,26,27,31,33,37,39,40,43,52,56,58,61,62,73"
2026168,1,"10,11,23,38,39,56,66,69,74","2,6,8,9,20,21,24,25,31,33,42,44,46,48,55,61,64,66,72,77"
2026167,1,"18,23,30,47,50,56,69,71,77","1,3,12,13,15,16,17,22,24,28,33,34,35,40,45,47,54,66,68,74"
2026166,2,"2,11,39,44,47,49,50,66,77","2,8,14,16,17,24,25,27,30,31,41,48,50,55,61,70,71,73,76,79"
2026165,2,"2,12,23,27,39,56,60,69,77","1,9,10,12,26,31,33,35,39,42,46,48,49,57,61,64,65,66,67,74"
2026164,2,"12,17,18,27,38,49,50,71,77","1,3,4,5,13,17,19,25,30,34,38,46,56,58,59,60,63,69,76,80"
2026163,3,"7,10,11,12,17,18,39,71,77","8,9,11,14,18,22,28,35,37,40,41,42,45,50,54,58,70,71,73,74"
2026162,1,"12,17,39,49,51,54,59,60,77","1,2,8,13,16,18,19,30,33,37,39,40,56,57,63,69,71,73,76,78"
2026161,1,"7,10,11,24,38,49,54,59,77","2,14,15,23,28,30,35,39,43,44,49,50,51,53,57,60,62,69,74,76"
2026160,1,"7,10,12,27,41,57,59,71,77","2,4,6,9,13,26,32,36,38,41,44,47,56,58,60,69,72,76,78,80"
2026159,3,"7,10,12,17,27,49,53,62,77","4,5,8,12,22,23,26,27,35,39,47,50,56,58,60,61,66,70,71,77"
2026158,3,"4,7,12,18,49,53,59,60,77","5,11,12,15,20,23,28,29,37,38,45,49,51,55,63,64,65,69,77,79"
2026157,3,"3,4,7,12,17,19,49,62,77","1,3,6,8,14,18,29,38,39,42,44,46,49,51,57,58,61,75,77,80"
2026156,1,"7,8,10,12,17,18,28,52,59","2,5,9,11,16,17,19,27,39,48,49,54,62,63,66,69,70,71,73,76"
2026155,7,"7,11,12,14,17,18,27,30,38","7,10,11,12,17,18,24,27,30,31,32,34,42,49,54,59,64,65,71,72"
2026154,2,"2,7,9,37,39,50,59,77,78","7,10,12,13,17,18,26,29,33,38,41,47,50,54,56,57,58,62,68,73"
2026153,1,"2,11,14,30,39,60,62,75,77","1,7,17,19,20,21,22,23,35,37,43,44,49,51,53,59,66,71,77,78"
2026152,0,"2,4,9,14,39,40,50,77,78","1,3,13,16,18,25,32,35,37,44,45,47,58,59,60,63,66,68,72,75"
2026151,2,"7,9,14,52,63,64,74,76,77","3,4,6,10,12,21,24,36,37,38,41,42,44,45,49,52,70,73,77,78"
2026150,2,"10,14,39,57,63,64,75,76,77","7,8,12,18,19,23,24,27,53,54,56,57,59,60,62,70,74,77,78,79"
2026149,3,"9,11,31,39,53,57,63,75,77","2,4,10,12,13,17,23,30,31,33,37,43,47,55,58,62,65,72,75,77"
2026148,5,"2,10,11,14,18,26,30,76,77","1,2,7,11,17,18,26,28,30,38,41,42,43,54,59,62,69,71,74,79"
